,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom to make life choices,Lack of Corruption,Donations to Charity,Happiness Category
85,4.949,0.832,0.919,0.791,0.092,0.002,0.248,Moderately Happy
86,5.163,0.934,0.644,0.708,0.095,0.0,0.299,Moderately Happy
87,5.182,0.982,1.069,0.705,0.204,0.329,0.0,Moderately Happy
88,5.129,0.915,1.078,0.758,0.28,0.216,0.0,Moderately Happy
89,5.386,0.945,1.212,0.845,0.212,0.263,0.006,Moderately Happy
90,4.332,0.994,1.105,0.048,0.495,0.125,0.105,Moderately Happy
91,3.974,1.094,0.892,0.348,0.441,0.108,0.124,Not Happy
92,3.766,1.122,1.222,0.342,0.505,0.099,0.099,Not Happy
93,3.59,1.017,1.174,0.417,0.557,0.042,0.092,Not Happy
94,3.488,1.041,1.145,0.538,0.455,0.025,0.1,Not Happy
95,6.983,0.981,1.233,0.697,0.49,0.175,0.146,Happy
96,6.952,1.088,1.039,0.614,0.404,0.142,0.158,Happy
97,6.635,1.107,1.431,0.617,0.437,0.162,0.111,Happy
98,6.419,0.986,1.474,0.675,0.493,0.11,0.088,Happy
99,6.3,1.004,1.439,0.802,0.39,0.099,0.086,Happy
100,4.218,1.012,1.106,0.766,0.306,0.009,0.119,Moderately Happy
101,4.217,1.113,0.925,0.678,0.212,0.006,0.128,Moderately Happy
102,4.714,1.161,1.434,0.708,0.289,0.113,0.011,Moderately Happy
103,4.933,1.054,1.515,0.712,0.359,0.064,0.009,Moderately Happy
104,5.011,1.092,1.513,0.815,0.311,0.081,0.004,Moderately Happy
105,3.587,0.258,0.852,0.271,0.395,0.128,0.217,Not Happy
106,3.739,0.32,0.631,0.213,0.334,0.125,0.244,Not Happy
107,4.032,0.35,1.043,0.216,0.324,0.251,0.12,Moderately Happy
108,4.424,0.314,1.097,0.254,0.312,0.175,0.128,Moderately Happy
109,4.587,0.331,1.056,0.38,0.255,0.177,0.113,Moderately Happy
110,2.905,0.015,0.416,0.224,0.119,0.101,0.197,Not Happy
111,2.905,0.068,0.234,0.157,0.043,0.094,0.203,Not Happy
112,2.905,0.092,0.63,0.152,0.06,0.204,0.084,Not Happy
113,2.905,0.091,0.627,0.145,0.065,0.149,0.076,Not Happy
114,3.775,0.046,0.447,0.38,0.22,0.176,0.18,Not Happy
115,3.819,0.46,0.627,0.611,0.662,0.072,0.404,Not Happy
116,3.907,0.556,0.538,0.425,0.589,0.081,0.403,Not Happy
117,4.168,0.602,1.006,0.43,0.633,0.386,0.068,Moderately Happy
118,4.433,0.549,1.088,0.457,0.696,0.256,0.065,Moderately Happy
119,4.7,0.574,1.122,0.637,0.609,0.232,0.062,Moderately Happy
120,4.252,0.423,0.888,0.234,0.493,0.058,0.206,Moderately Happy
121,4.513,0.525,0.625,0.127,0.427,0.061,0.227,Moderately Happy
122,4.695,0.564,0.946,0.133,0.43,0.236,0.051,Moderately Happy
123,4.975,0.535,0.891,0.182,0.454,0.183,0.043,Moderately Happy
124,5.044,0.549,0.91,0.331,0.381,0.187,0.037,Moderately Happy
125,7.427,1.326,1.323,0.906,0.633,0.33,0.458,Happy
126,7.404,1.44,1.096,0.828,0.574,0.313,0.448,Happy
127,7.316,1.479,1.481,0.835,0.611,0.436,0.287,Happy
128,7.328,1.33,1.532,0.896,0.653,0.321,0.291,Happy
129,7.278,1.365,1.505,1.039,0.584,0.285,0.308,Happy
130,3.678,0.079,0.0,0.067,0.489,0.083,0.238,Not Happy
131,5.323,0.9825,1.1265,0.6505,0.431,0.155,0.127,Moderately Happy
132,2.693,0.0,0.0,0.019,0.271,0.281,0.057,Not Happy
133,3.083,0.024,0.0,0.01,0.305,0.218,0.038,Not Happy
134,3.083,0.026,0.0,0.105,0.225,0.235,0.035,Not Happy
135,3.667,0.342,0.761,0.15,0.235,0.053,0.184,Not Happy
136,3.763,0.422,0.632,0.038,0.128,0.05,0.187,Not Happy
137,3.936,0.438,0.954,0.041,0.162,0.216,0.054,Not Happy
138,4.301,0.358,0.907,0.053,0.189,0.181,0.06,Moderately Happy
139,4.35,0.35,0.766,0.192,0.174,0.198,0.078,Moderately Happy
140,6.67,1.107,1.124,0.859,0.441,0.129,0.334,Happy
141,6.705,1.217,0.906,0.819,0.378,0.115,0.316,Happy
142,6.652,1.253,1.284,0.819,0.377,0.327,0.082,Happy
143,6.476,1.131,1.331,0.808,0.431,0.197,0.061,Happy
144,6.444,1.159,1.369,0.92,0.357,0.187,0.056,Happy
145,5.14,0.89,0.947,0.817,0.517,0.028,0.082,Moderately Happy
146,5.245,1.028,0.794,0.736,0.44,0.027,0.05,Moderately Happy
147,5.273,1.081,1.161,0.741,0.473,0.029,0.023,Moderately Happy
148,5.246,0.989,1.142,0.799,0.597,0.029,0.103,Moderately Happy
149,5.191,1.029,1.125,0.893,0.521,0.058,0.1,Moderately Happy
150,6.477,0.919,1.24,0.691,0.535,0.051,0.184,Happy
151,6.481,1.03,1.022,0.597,0.447,0.054,0.156,Happy
152,6.357,1.071,1.402,0.595,0.477,0.149,0.047,Happy
153,6.26,0.96,1.439,0.635,0.531,0.099,0.039,Happy
154,6.125,0.985,1.41,0.841,0.47,0.099,0.034,Happy
155,3.956,0.239,0.793,0.363,0.229,0.199,0.174,Not Happy
156,3.956,0.275,0.603,0.3,0.154,0.184,0.183,Not Happy
157,5.323,0.9825,1.1265,0.6505,0.431,0.155,0.127,Moderately Happy
158,5.323,0.9825,1.1265,0.6505,0.431,0.155,0.127,Moderately Happy
159,3.973,0.274,0.757,0.505,0.142,0.275,0.078,Not Happy
160,3.989,0.679,0.663,0.311,0.415,0.117,0.124,Not Happy
161,4.236,0.771,0.478,0.282,0.379,0.098,0.121,Moderately Happy
162,4.291,0.809,0.832,0.29,0.435,0.121,0.08,Moderately Happy
163,4.559,0.682,0.811,0.343,0.514,0.091,0.077,Moderately Happy
164,4.812,0.673,0.799,0.508,0.372,0.105,0.093,Moderately Happy
165,4.517,0.0,1.001,0.098,0.226,0.076,0.248,Moderately Happy
166,4.272,0.057,0.807,0.188,0.156,0.061,0.255,Moderately Happy
167,4.28,0.092,1.229,0.191,0.236,0.246,0.06,Moderately Happy
168,4.245,0.069,1.136,0.204,0.312,0.197,0.052,Moderately Happy
169,4.418,0.094,1.125,0.357,0.269,0.212,0.053,Moderately Happy
170,7.226,0.956,1.238,0.86,0.634,0.106,0.255,Happy
171,7.087,1.069,1.022,0.761,0.552,0.105,0.226,Happy
172,7.079,1.11,1.416,0.76,0.58,0.215,0.1,Happy
173,7.072,1.01,1.459,0.817,0.632,0.143,0.101,Happy
174,7.167,1.034,1.441,0.963,0.558,0.144,0.093,Happy
175,5.759,1.083,0.796,0.788,0.259,0.024,0.054,Moderately Happy
176,5.488,1.186,0.608,0.705,0.239,0.04,0.184,Moderately Happy
177,5.293,1.223,0.968,0.701,0.256,0.248,0.043,Moderately Happy
178,5.321,1.115,1.161,0.737,0.38,0.12,0.039,Moderately Happy
179,5.432,1.155,1.266,0.914,0.296,0.119,0.022,Moderately Happy
180,5.689,1.208,0.893,0.924,0.407,0.061,0.306,Moderately Happy
181,5.546,1.319,0.707,0.849,0.295,0.052,0.279,Moderately Happy
182,5.621,1.356,1.131,0.845,0.355,0.271,0.041,Moderately Happy
183,5.762,1.229,1.191,0.909,0.423,0.202,0.035,Moderately Happy
184,6.046,1.263,1.223,1.042,0.406,0.19,0.041,Happy
185,6.505,1.179,1.206,0.845,0.464,0.027,0.107,Happy
186,6.596,1.309,1.008,0.764,0.414,0.04,0.099,Happy
187,6.609,1.353,1.434,0.754,0.491,0.088,0.037,Happy
188,6.711,1.233,1.489,0.854,0.543,0.064,0.034,Happy
189,6.852,1.269,1.487,0.92,0.457,0.046,0.036,Happy
190,7.527,1.325,1.361,0.875,0.649,0.484,0.341,Happy
191,7.526,1.442,1.164,0.795,0.579,0.445,0.362,Happy
192,7.522,1.482,1.551,0.793,0.626,0.355,0.401,Happy
193,7.555,1.351,1.59,0.868,0.683,0.284,0.408,Happy
194,7.6,1.383,1.573,0.996,0.592,0.252,0.41,Happy
200,4.885,0.895,1.172,0.668,0.577,0.142,0.217,Moderately Happy
201,5.155,1.028,0.995,0.577,0.523,0.124,0.213,Moderately Happy
202,5.23,1.079,1.402,0.575,0.553,0.187,0.114,Moderately Happy
203,5.302,0.982,1.441,0.614,0.578,0.12,0.106,Moderately Happy
204,5.425,1.015,1.401,0.779,0.497,0.113,0.101,Moderately Happy
205,5.975,0.864,0.999,0.791,0.486,0.181,0.115,Moderately Happy
206,5.976,0.973,0.86,0.686,0.403,0.18,0.101,Moderately Happy
207,6.008,1.001,1.286,0.686,0.455,0.15,0.14,Happy
208,5.973,0.889,1.33,0.736,0.556,0.114,0.12,Moderately Happy
